ID,VIGENCIA,MES,NUCLEO NUMERO,PERSONAS_NUCLEO,EDAD,ETAPA_VIDA,GENERO,LGTBI,GESTANTE,CABEZA_DE_FAMILIA,DISCAPACIDAD,ADULTO_MAYOR,AFRODESCENDIENTE,MESTIZO,INDIGENA,RROM,AMENAZA,DESPLAZAMIENTO,RECLUTAMIENTO_FORZADO,SECUESTRO,HOMICIDIO,TORTURA,DELITOS_CONTRA_LIBERTAD_E_INTEGRIDAD_SEXUAL,MINAS_ANTIPERSONAL,ACTO_TERRORISTA,DESPOJO_Y_ABANDONO_DE_BIENES,VINCULACION_DE_NNA_GRUPOS_ARMADOS,MIGRANTES_VENEZOLANOS,ORIENTACION,ATENCION_PSICOLOGICA,APOYO,ARTICULACION_INTERINSTITUCIONAL,DECLARACION,MES_ORDEN,CURSO_VIDA,CURSO_VIDA_ORDEN,CANTIDAD,FECHA,DPTO_CCDGO,DPTO_CNMBR,MUNICIPIO_PROCEDENCIA,MPIO_CCDGO,ID_GENERADO
14,2017,ENERO,Si,3,28,JOVENES,FEMENINO,No,No,Si,No,No,No,No,No,No,Si,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,1,25-29,5,1,2017-01-01,81,ARAUCA,ARAUQUITA,65,81065
15,2017,ENERO,No,0,11,PRIMERA INFANCIA,MASCULINO,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,1,10-14,2,1,2017-01-01,81,ARAUCA,ARAUQUITA,65,81065
16,2017,ENERO,No,0,7,PRIMERA INFANCIA,FEMENINO,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,DEFENSORIA DEL PUEBLO,1,5-9,1,1,2017-01-01,81,ARAUCA,ARAUQUITA,65,81065
17,2017,ENERO,Si,3,33,ADULTEZ,FEMENINO,No,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,1,30-34,6,1,2017-01-01,47,MAGDALENA,SANTA BARBARA DE PINTO,720,47720
18,2017,ENERO,No,0,28,JOVENES,MASCULINO,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,1,25-29,5,1,2017-01-01,47,MAGDALENA,SANTA BARBARA DE PINTO,720,47720
19,2017,ENERO,No,0,6,PRIMERA INFANCIA,MASCULINO,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,1,5-9,1,1,2017-01-01,47,MAGDALENA,SANTA BARBARA DE PINTO,720,47720
20,2017,ENERO,Si,2,20,JOVENES,FEMENINO,No,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,1,20-24,4,1,2017-01-01,54,NORTE DE SANTANDER,SAN JOSE DE CUCUTA,1,54001
21,2017,ENERO,No,0,3,PRIMERA INFANCIA,FEMENINO,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,1,0-4,0,1,2017-01-01,54,NORTE DE SANTANDER,SAN JOSE DE CUCUTA,1,54001
22,2017,ENERO,Si,7,37,ADULTEZ,MASCULINO,No,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,1,35-39,7,1,2017-01-01,54,NORTE DE SANTANDER,SAN JOSE DE CUCUTA,1,54001
23,2017,ENERO,No,0,26,JOVENES,FEMENINO,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,1,25-29,5,1,2017-01-01,54,NORTE DE SANTANDER,SAN JOSE DE CUCUTA,1,54001
24,2017,ENERO,No,0,5,PRIMERA INFANCIA,MASCULINO,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,1,5-9,1,1,2017-01-01,54,NORTE DE SANTANDER,SAN JOSE DE CUCUTA,1,54001
25,2017,ENERO,No,0,9,PRIMERA INFANCIA,MASCULINO,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,1,5-9,1,1,2017-01-01,54,NORTE DE SANTANDER,SAN JOSE DE CUCUTA,1,54001
26,2017,ENERO,No,0,7,PRIMERA INFANCIA,MASCULINO,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,1,5-9,1,1,2017-01-01,54,NORTE DE SANTANDER,SAN JOSE DE CUCUTA,1,54001
27,2017,ENERO,No,0,2,PRIMERA INFANCIA,MASCULINO,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,1,0-4,0,1,2017-01-01,54,NORTE DE SANTANDER,SAN JOSE DE CUCUTA,1,54001
28,2017,ENERO,No,0,4,PRIMERA INFANCIA,FEMENINO,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,1,0-4,0,1,2017-01-01,54,NORTE DE SANTANDER,SAN JOSE DE CUCUTA,1,54001
29,2017,ENERO,Si,1,61,PERSONA MAYOR,MASCULINO,No,No,Si,No,Si,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,1,60-64,12,1,2017-01-01,54,NORTE DE SANTANDER,EL ZULIA,261,54261
30,2017,ENERO,Si,1,27,JOVENES,MASCULINO,No,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,1,25-29,5,1,2017-01-01,81,ARAUCA,FORTUL,300,81300
31,2017,ENERO,Si,2,37,ADULTEZ,FEMENINO,No,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,1,35-39,7,1,2017-01-01,54,NORTE DE SANTANDER,HACARI,344,54344
32,2017,ENERO,No,0,14,ADOLESCENCIA,MASCULINO,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,1,10-14,2,1,2017-01-01,54,NORTE DE SANTANDER,HACARI,344,54344
33,2017,ENERO,Si,9,30,ADULTEZ,FEMENINO,No,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,1,30-34,6,1,2017-01-01,81,ARAUCA,ARAUCA,1,81001
34,2017,ENERO,No,0,25,JOVENES,MASCULINO,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,1,25-29,5,1,2017-01-01,81,ARAUCA,ARAUCA,1,81001
35,2017,ENERO,No,0,63,PERSONA MAYOR,FEMENINO,No,No,No,No,Si,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,1,60-64,12,1,2017-01-01,81,ARAUCA,ARAUCA,1,81001
36,2017,ENERO,No,0,13,ADOLESCENCIA,FEMENINO,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,1,10-14,2,1,2017-01-01,81,ARAUCA,ARAUCA,1,81001
37,2017,ENERO,No,0,11,PRIMERA INFANCIA,MASCULINO,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,1,10-14,2,1,2017-01-01,81,ARAUCA,ARAUCA,1,81001
38,2017,ENERO,No,0,8,PRIMERA INFANCIA,MASCULINO,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,1,5-9,1,1,2017-01-01,81,ARAUCA,ARAUCA,1,81001
39,2017,ENERO,No,0,7,PRIMERA INFANCIA,FEMENINO,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,1,5-9,1,1,2017-01-01,81,ARAUCA,ARAUCA,1,81001
40,2017,ENERO,No,0,5,PRIMERA INFANCIA,MASCULINO,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,1,5-9,1,1,2017-01-01,81,ARAUCA,ARAUCA,1,81001
41,2017,FEBRERO,Si,4,44,ADULTEZ,FEMENINO,No,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,2,40-44,8,1,2017-02-01,68,SANTANDER,BARRANCABERMEJA,81,68081
42,2017,FEBRERO,No,0,65,PERSONA MAYOR,MASCULINO,No,No,No,No,Si,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,2,65-69,13,1,2017-02-01,68,SANTANDER,BARRANCABERMEJA,81,68081
43,2017,FEBRERO,No,0,52,ADULTEZ,FEMENINO,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,2,50-54,10,1,2017-02-01,68,SANTANDER,BARRANCABERMEJA,81,68081
44,2017,FEBRERO,No,0,10,PRIMERA INFANCIA,MASCULINO,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,2,10-14,2,1,2017-02-01,68,SANTANDER,BARRANCABERMEJA,81,68081
45,2017,FEBRERO,Si,7,44,ADULTEZ,FEMENINO,No,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,2,40-44,8,1,2017-02-01,68,SANTANDER,FLORIDABLANCA,276,68276
46,2017,FEBRERO,No,0,25,JOVENES,MASCULINO,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,2,25-29,5,1,2017-02-01,68,SANTANDER,FLORIDABLANCA,276,68276
47,2017,FEBRERO,No,0,11,PRIMERA INFANCIA,FEMENINO,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,2,10-14,2,1,2017-02-01,68,SANTANDER,FLORIDABLANCA,276,68276
48,2017,FEBRERO,No,0,9,PRIMERA INFANCIA,FEMENINO,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,2,5-9,1,1,2017-02-01,68,SANTANDER,FLORIDABLANCA,276,68276
49,2017,FEBRERO,No,0,13,ADOLESCENCIA,FEMENINO,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,2,10-14,2,1,2017-02-01,68,SANTANDER,FLORIDABLANCA,276,68276
50,2017,FEBRERO,No,0,14,ADOLESCENCIA,FEMENINO,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,2,10-14,2,1,2017-02-01,68,SANTANDER,FLORIDABLANCA,276,68276
51,2017,FEBRERO,No,0,18,JOVENES,FEMENINO,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,2,15-19,3,1,2017-02-01,68,SANTANDER,FLORIDABLANCA,276,68276
52,2017,FEBRERO,Si,1,40,ADULTEZ,MASCULINO,No,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,2,40-44,8,1,2017-02-01,54,NORTE DE SANTANDER,VILLA DEL ROSARIO,874,54874
53,2017,FEBRERO,Si,4,60,PERSONA MAYOR,FEMENINO,No,No,Si,No,Si,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,2,60-64,12,1,2017-02-01,68,SANTANDER,FLORIDABLANCA,276,68276
54,2017,FEBRERO,No,0,67,PERSONA MAYOR,MASCULINO,No,No,No,No,Si,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,2,65-69,13,1,2017-02-01,68,SANTANDER,FLORIDABLANCA,276,68276
55,2017,FEBRERO,No,0,16,ADOLESCENCIA,MASCULINO,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,2,15-19,3,1,2017-02-01,68,SANTANDER,FLORIDABLANCA,276,68276
56,2017,FEBRERO,No,0,10,PRIMERA INFANCIA,MASCULINO,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,2,10-14,2,1,2017-02-01,68,SANTANDER,FLORIDABLANCA,276,68276
57,2017,FEBRERO,Si,3,26,JOVENES,FEMENINO,No,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,2,25-29,5,1,2017-02-01,54,NORTE DE SANTANDER,OCANA,498,54498
58,2017,FEBRERO,No,0,28,JOVENES,MASCULINO,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,2,25-29,5,1,2017-02-01,54,NORTE DE SANTANDER,OCANA,498,54498
59,2017,FEBRERO,No,0,5,PRIMERA INFANCIA,FEMENINO,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,2,5-9,1,1,2017-02-01,54,NORTE DE SANTANDER,OCANA,498,54498
60,2017,FEBRERO,Si,5,23,JOVENES,MASCULINO,No,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,2,20-24,4,1,2017-02-01,5,ANTIOQUIA,YONDO,893,5893
61,2017,FEBRERO,No,0,18,JOVENES,FEMENINO,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,2,15-19,3,1,2017-02-01,5,ANTIOQUIA,YONDO,893,5893
62,2017,FEBRERO,No,0,4,PRIMERA INFANCIA,FEMENINO,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,2,0-4,0,1,2017-02-01,5,ANTIOQUIA,YONDO,893,5893
63,2017,FEBRERO,No,0,1,PRIMERA INFANCIA,MASCULINO,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,2,0-4,0,1,2017-02-01,5,ANTIOQUIA,YONDO,893,5893
64,2017,FEBRERO,No,0,1,PRIMERA INFANCIA,MASCULINO,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,2,0-4,0,1,2017-02-01,5,ANTIOQUIA,YONDO,893,5893
65,2017,FEBRERO,Si,5,21,JOVENES,FEMENINO,No,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,2,20-24,4,1,2017-02-01,68,SANTANDER,BARRANCABERMEJA,81,68081
66,2017,FEBRERO,No,0,32,ADULTEZ,MASCULINO,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,2,30-34,6,1,2017-02-01,68,SANTANDER,BARRANCABERMEJA,81,68081
67,2017,FEBRERO,No,0,10,PRIMERA INFANCIA,FEMENINO,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,2,10-14,2,1,2017-02-01,68,SANTANDER,BARRANCABERMEJA,81,68081
68,2017,FEBRERO,No,0,4,PRIMERA INFANCIA,FEMENINO,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,2,0-4,0,1,2017-02-01,68,SANTANDER,BARRANCABERMEJA,81,68081
69,2017,FEBRERO,No,0,2,PRIMERA INFANCIA,FEMENINO,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,2,0-4,0,1,2017-02-01,68,SANTANDER,BARRANCABERMEJA,81,68081
70,2017,FEBRERO,Si,3,20,JOVENES,FEMENINO,No,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,2,20-24,4,1,2017-02-01,20,CESAR,RIO DE ORO,614,20614
71,2017,FEBRERO,No,0,20,JOVENES,MASCULINO,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,2,20-24,4,1,2017-02-01,20,CESAR,RIO DE ORO,614,20614
72,2017,FEBRERO,No,0,1,PRIMERA INFANCIA,MASCULINO,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,2,0-4,0,1,2017-02-01,20,CESAR,RIO DE ORO,614,20614
73,2017,FEBRERO,Si,7,30,ADULTEZ,FEMENINO,No,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,2,30-34,6,1,2017-02-01,11,"BOGOTA, D.C.","BOGOTA, D.C.",1,11001
74,2017,FEBRERO,No,0,16,ADOLESCENCIA,MASCULINO,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,2,15-19,3,1,2017-02-01,11,"BOGOTA, D.C.","BOGOTA, D.C.",1,11001
75,2017,FEBRERO,No,0,15,ADOLESCENCIA,FEMENINO,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,2,15-19,3,1,2017-02-01,11,"BOGOTA, D.C.","BOGOTA, D.C.",1,11001
76,2017,FEBRERO,No,0,3,PRIMERA INFANCIA,MASCULINO,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,2,0-4,0,1,2017-02-01,11,"BOGOTA, D.C.","BOGOTA, D.C.",1,11001
77,2017,FEBRERO,No,0,9,PRIMERA INFANCIA,MASCULINO,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,2,5-9,1,1,2017-02-01,11,"BOGOTA, D.C.","BOGOTA, D.C.",1,11001
78,2017,FEBRERO,No,0,10,PRIMERA INFANCIA,MASCULINO,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,2,10-14,2,1,2017-02-01,11,"BOGOTA, D.C.","BOGOTA, D.C.",1,11001
79,2017,FEBRERO,No,0,4,PRIMERA INFANCIA,FEMENINO,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,2,0-4,0,1,2017-02-01,11,"BOGOTA, D.C.","BOGOTA, D.C.",1,11001
80,2017,FEBRERO,Si,3,38,ADULTEZ,FEMENINO,No,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,2,35-39,7,1,2017-02-01,68,SANTANDER,PUERTO WILCHES,575,68575
81,2017,FEBRERO,No,0,10,PRIMERA INFANCIA,FEMENINO,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,2,10-14,2,1,2017-02-01,68,SANTANDER,PUERTO WILCHES,575,68575
82,2017,FEBRERO,No,0,15,ADOLESCENCIA,FEMENINO,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,2,15-19,3,1,2017-02-01,68,SANTANDER,PUERTO WILCHES,575,68575
83,2017,FEBRERO,Si,3,21,JOVENES,MASCULINO,No,No,Si,No,No,No,No,Si,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,2,20-24,4,1,2017-02-01,76,VALLE DEL CAUCA,BUENAVENTURA,109,76109
84,2017,FEBRERO,No,0,18,JOVENES,FEMENINO,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,2,15-19,3,1,2017-02-01,76,VALLE DEL CAUCA,BUENAVENTURA,109,76109
85,2017,FEBRERO,No,0,3,PRIMERA INFANCIA,MASCULINO,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,2,0-4,0,1,2017-02-01,76,VALLE DEL CAUCA,BUENAVENTURA,109,76109
86,2017,FEBRERO,Si,4,53,ADULTEZ,FEMENINO,No,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,2,50-54,10,1,2017-02-01,54,NORTE DE SANTANDER,OCANA,498,54498
87,2017,FEBRERO,No,0,53,ADULTEZ,MASCULINO,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,2,50-54,10,1,2017-02-01,54,NORTE DE SANTANDER,OCANA,498,54498
88,2017,FEBRERO,No,0,20,JOVENES,MASCULINO,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,2,20-24,4,1,2017-02-01,54,NORTE DE SANTANDER,OCANA,498,54498
